AA	27.172786	80.860969
AABH	25.751932	84.969467
AADR	31.670257	76.109921
AAG	17.954500	75.600100
AAH	26.562500	78.683600
AAK	20.183107	74.453487
AAL	23.173100	81.593200
AAM	10.979069	76.206923
AAP	26.514900	79.826400
AAR	23.560840	70.982666
AAS	26.397444	73.305395
AAY	8.249207	77.529302
AB	12.783300	78.721600
ABB	22.547700	88.199200
ABD	23.053870	72.493544
ABE	26.368187	77.963448
ABFC	26.641200	88.510300
ABGM	23.688390	88.081684
ABGT	13.907408	76.134911
ABH	19.210042	73.184416
ABI	10.271700	77.924000
ABKA	23.211800	88.354400
ABKP	23.136800	83.144900
ABLE	18.406818	74.139004
ABO	28.857900	76.629200
ABP	26.429998	82.539253
ABR	24.471135	72.776055
ABRV	22.319550	74.272202
ABS	30.139338	74.193935
ABSA	23.930877	91.861153
ABU	13.114100	80.153400
ABW	26.078140	89.634790
ABX	19.695688	78.227291
ABY	19.267300	73.171500
ACG	20.976187	75.934217
ACH	26.445000	80.545800
ACK	12.406700	79.821600
ACL	20.845400	72.945200
ACLE	24.237600	88.258500
ACN	12.054430	79.182758
ACND	26.774886	82.157307
ACPR	27.707087	94.849262
ACRN	16.446711	73.743684
ACU	25.452730	85.661087
AD	15.616700	77.274500
ADB	19.680414	78.535595
ADD	22.489700	73.031400
ADE	20.986845	70.330868
ADF	25.114300	88.123100
ADH	19.117139	72.846563
ADHL	13.275400	76.374000
ADI	23.025475	72.601476
ADL	22.575400	88.239900
ADPT	9.993800	77.619000
ADQ	26.577142	88.170132
ADR	29.282800	75.468500
ADRA	23.495602	86.674275
ADRE	23.493162	86.693261
ADSR	24.909715	84.192584
ADST	22.954600	88.379002
ADT	11.008600	79.478100
ADTL	23.227859	79.972744
ADTP	22.782592	86.159334
ADVI	16.921673	73.592434
ADX	26.925131	84.942169
AE	21.607900	71.228100
AED	27.029300	77.612700
AEH	26.035400	78.227000
AEJ	22.581918	72.268152
AEK	12.723400	77.710200
AEL	28.099900	76.252900
AEP	21.595800	71.221300
AEX	14.140900	75.157800
AF	27.183188	78.018980
AFK	10.183400	76.377600
AFR	28.405293	78.905697
AG	23.241977	88.613491
AGA	27.194323	78.015525
AGAE	23.580900	88.226100
AGAS	22.501800	72.883700
AGB	19.062000	82.239000
AGC	27.157722	77.989883
AGCI	22.807100	73.282900
AGD	24.234403	78.217292
AGE	26.606333	77.466660
AGI	26.812811	94.524221
AGM	12.414400	79.113400
AGMN	26.211514	89.782123
AGN	21.361200	80.374700
AGP	22.682925	88.385181
AGQ	21.377900	76.267600
AGR	23.080600	74.747000
AGT	26.201200	91.686300
AGTL	23.792727	91.278791
AGTR	26.007733	84.843979
AGV	21.892642	87.269983
AGX	10.355956	79.850693
AGY	24.598600	83.055800
AGZ	19.068200	82.147500
AH	27.181738	77.757797
AHA	25.228200	86.344200
AHH	30.683300	75.829200
AHJU	32.028380	76.690106
AHL	25.781498	87.848182
AHLR	26.468100	83.824600
AHM	25.252300	82.511400
AHMP	25.133742	85.920689
